name,description,nutrition
Nestle,"<div class=""jss65"">Nestle Fitnes, <!-- -->1<!-- --> <!-- -->cup</div>","<div class=""jss70"">Calories: 93<!-- --> <span class=""jss67"">•</span>Carbs: 17g<!-- --> <span class=""jss67"">•</span>Fat: 2g<!-- --> <span class=""jss67"">•</span>Protein: 1g</div>"
Nestle    Yogurt,"<div class=""jss65"">Nestle, <!-- -->1<!-- --> <!-- -->cup</div>","<div class=""jss70"">Calories: 87<!-- --> <span class=""jss67"">•</span>Carbs: 14g<!-- --> <span class=""jss67"">•</span>Fat: 2g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Nestle Crunch Egg,"<div class=""jss65"">Nestle, <!-- -->5<!-- --> <!-- -->pieces</div>","<div class=""jss70"">Calories: 140<!-- --> <span class=""jss67"">•</span>Carbs: 19g<!-- --> <span class=""jss67"">•</span>Fat: 7g<!-- --> <span class=""jss67"">•</span>Protein: 1g</div>"
Coco Shreddies Nestle,"<div class=""jss65"">Nestle, <!-- -->1<!-- --> <!-- -->Bowl (100g)</div>","<div class=""jss70"">Calories: 375<!-- --> <span class=""jss67"">•</span>Carbs: 76g<!-- --> <span class=""jss67"">•</span>Fat: 2g<!-- --> <span class=""jss67"">•</span>Protein: 9g</div>"
Nestle chokella,"<div class=""jss65"">Nestle, <!-- -->100<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 142<!-- --> <span class=""jss67"">•</span>Carbs: 22g<!-- --> <span class=""jss67"">•</span>Fat: 2g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
Nestle Nestif,"<div class=""jss65"">Nestle, <!-- -->0.75<!-- --> <!-- -->cup</div>","<div class=""jss70"">Calories: 105<!-- --> <span class=""jss67"">•</span>Carbs: 22g<!-- --> <span class=""jss67"">•</span>Fat: 0g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
conflakes nestle,"<div class=""jss65"">conflakes nestle, <!-- -->100<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 395<!-- --> <span class=""jss67"">•</span>Carbs: 74g<!-- --> <span class=""jss67"">•</span>Fat: 6g<!-- --> <span class=""jss67"">•</span>Protein: 8g</div>"
Kitkat,"<div class=""jss65"">Nestle, <!-- -->2<!-- --> <!-- -->stik</div>","<div class=""jss70"">Calories: 104<!-- --> <span class=""jss67"">•</span>Carbs: 13g<!-- --> <span class=""jss67"">•</span>Fat: 5g<!-- --> <span class=""jss67"">•</span>Protein: 1g</div>"
Drumstick,"<div class=""jss65"">Nestle, <!-- -->1<!-- --> <!-- -->Drumstick</div>","<div class=""jss70"">Calories: 290<!-- --> <span class=""jss67"">•</span>Carbs: 32g<!-- --> <span class=""jss67"">•</span>Fat: 16g<!-- --> <span class=""jss67"">•</span>Protein: 4g</div>"
Nesquik,"<div class=""jss65"">Nestle, <!-- -->2<!-- --> <!-- -->T</div>","<div class=""jss70"">Calories: 50<!-- --> <span class=""jss67"">•</span>Carbs: 12g<!-- --> <span class=""jss67"">•</span>Fat: 0g<!-- --> <span class=""jss67"">•</span>Protein: 1g</div>"
name,description,nutrition
Nestle,"<div class=""jss65"">Nestle Fitnes, <!-- -->1<!-- --> <!-- -->cup</div>","<div class=""jss70"">Calories: 93<!-- --> <span class=""jss67"">•</span>Carbs: 17g<!-- --> <span class=""jss67"">•</span>Fat: 2g<!-- --> <span class=""jss67"">•</span>Protein: 1g</div>"
Nestle    Yogurt,"<div class=""jss65"">Nestle, <!-- -->1<!-- --> <!-- -->cup</div>","<div class=""jss70"">Calories: 87<!-- --> <span class=""jss67"">•</span>Carbs: 14g<!-- --> <span class=""jss67"">•</span>Fat: 2g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Nestle Crunch Egg,"<div class=""jss65"">Nestle, <!-- -->5<!-- --> <!-- -->pieces</div>","<div class=""jss70"">Calories: 140<!-- --> <span class=""jss67"">•</span>Carbs: 19g<!-- --> <span class=""jss67"">•</span>Fat: 7g<!-- --> <span class=""jss67"">•</span>Protein: 1g</div>"
Coco Shreddies Nestle,"<div class=""jss65"">Nestle, <!-- -->1<!-- --> <!-- -->Bowl (100g)</div>","<div class=""jss70"">Calories: 375<!-- --> <span class=""jss67"">•</span>Carbs: 76g<!-- --> <span class=""jss67"">•</span>Fat: 2g<!-- --> <span class=""jss67"">•</span>Protein: 9g</div>"
Nestle chokella,"<div class=""jss65"">Nestle, <!-- -->100<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 142<!-- --> <span class=""jss67"">•</span>Carbs: 22g<!-- --> <span class=""jss67"">•</span>Fat: 2g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
Nestle Nestif,"<div class=""jss65"">Nestle, <!-- -->0.75<!-- --> <!-- -->cup</div>","<div class=""jss70"">Calories: 105<!-- --> <span class=""jss67"">•</span>Carbs: 22g<!-- --> <span class=""jss67"">•</span>Fat: 0g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
conflakes nestle,"<div class=""jss65"">conflakes nestle, <!-- -->100<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 395<!-- --> <span class=""jss67"">•</span>Carbs: 74g<!-- --> <span class=""jss67"">•</span>Fat: 6g<!-- --> <span class=""jss67"">•</span>Protein: 8g</div>"
