name,description,nutrition
Britania,"<div class=""jss65"">Bread, <!-- -->100<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 243<!-- --> <span class=""jss67"">•</span>Carbs: 50g<!-- --> <span class=""jss67"">•</span>Fat: 2g<!-- --> <span class=""jss67"">•</span>Protein: 8g</div>"
Rusks,"<div class=""jss65"">Britania, <!-- -->1<!-- --> <!-- -->rusk (9.grams)</div>","<div class=""jss70"">Calories: 41<!-- --> <span class=""jss67"">•</span>Carbs: 7g<!-- --> <span class=""jss67"">•</span>Fat: 1g<!-- --> <span class=""jss67"">•</span>Protein: 1g</div>"
Britania White Bread,"<div class=""jss65"">Britania, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 241<!-- --> <span class=""jss67"">•</span>Carbs: 51g<!-- --> <span class=""jss67"">•</span>Fat: 1g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
biscuit,"<div class=""jss65"">britania, <!-- -->100<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 45<!-- --> <span class=""jss67"">•</span>Carbs: 76g<!-- --> <span class=""jss67"">•</span>Fat: 13g<!-- --> <span class=""jss67"">•</span>Protein: 8g</div>"
Cookies,"<div class=""jss65"">Britania, <!-- -->1<!-- --> <!-- -->piece</div>","<div class=""jss70"">Calories: 85<!-- --> <span class=""jss67"">•</span>Carbs: 10g<!-- --> <span class=""jss67"">•</span>Fat: 5g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
bisciuts,"<div class=""jss65"">britania, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 10<!-- --> <span class=""jss67"">•</span>Carbs: 65g<!-- --> <span class=""jss67"">•</span>Fat: 24g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
Crackers,"<div class=""jss65"">Britania, <!-- -->3<!-- --> <!-- -->cookies</div>","<div class=""jss70"">Calories: 120<!-- --> <span class=""jss67"">•</span>Carbs: 18g<!-- --> <span class=""jss67"">•</span>Fat: 4g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Fruit Cake,"<div class=""jss65"">Britania, <!-- -->1<!-- --> <!-- -->slice</div>","<div class=""jss70"">Calories: 37<!-- --> <span class=""jss67"">•</span>Carbs: 5g<!-- --> <span class=""jss67"">•</span>Fat: 2g<!-- --> <span class=""jss67"">•</span>Protein: 1g</div>"
Cheese Slice,"<div class=""jss65"">Britania, <!-- -->20<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 62<!-- --> <span class=""jss67"">•</span>Carbs: 1g<!-- --> <span class=""jss67"">•</span>Fat: 5g<!-- --> <span class=""jss67"">•</span>Protein: 3g</div>"
Nutrichoise Digestive,"<div class=""jss65"">Britania, <!-- -->2<!-- --> <!-- -->biscuits</div>","<div class=""jss70"">Calories: 160<!-- --> <span class=""jss67"">•</span>Carbs: 18g<!-- --> <span class=""jss67"">•</span>Fat: 8g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Marie Gold,"<div class=""jss65"">Britania, <!-- -->100<!-- --> <!-- -->gms</div>","<div class=""jss70"">Calories: 440<!-- --> <span class=""jss67"">•</span>Carbs: 77g<!-- --> <span class=""jss67"">•</span>Fat: 11g<!-- --> <span class=""jss67"">•</span>Protein: 9g</div>"
Cheese Cubes,"<div class=""jss65"">Britania, <!-- -->18<!-- --> <!-- -->grams</div>","<div class=""jss70"">Calories: 59<!-- --> <span class=""jss67"">•</span>Carbs: 1g<!-- --> <span class=""jss67"">•</span>Fat: 9g<!-- --> <span class=""jss67"">•</span>Protein: 3g</div>"
bread,"<div class=""jss65"">britania, <!-- -->10<!-- --> <!-- -->bread</div>","<div class=""jss70"">Calories: 100<!-- --> <span class=""jss67"">•</span>Carbs: 0g<!-- --> <span class=""jss67"">•</span>Fat: 0g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Biscuits,"<div class=""jss65"">Britania Nutrichoice, <!-- -->2<!-- --> <!-- -->biscuits (25g)</div>","<div class=""jss70"">Calories: 180<!-- --> <span class=""jss67"">•</span>Carbs: 24g<!-- --> <span class=""jss67"">•</span>Fat: 8g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Goodday Biscuit,"<div class=""jss65"">Britania, <!-- -->3<!-- --> <!-- -->Biscuits</div>","<div class=""jss70"">Calories: 140<!-- --> <span class=""jss67"">•</span>Carbs: 19g<!-- --> <span class=""jss67"">•</span>Fat: 6g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
