name,description,nutrition
Dukes Regular Sausages,"<div class=""jss65"">Dukes, <!-- -->1.25<!-- --> <!-- -->oz</div>","<div class=""jss70"">Calories: 130<!-- --> <span class=""jss67"">•</span>Carbs: 1g<!-- --> <span class=""jss67"">•</span>Fat: 11g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
Mayo,"<div class=""jss65"">Dukes, <!-- -->1<!-- --> <!-- -->tbsp</div>","<div class=""jss70"">Calories: 100<!-- --> <span class=""jss67"">•</span>Carbs: 0g<!-- --> <span class=""jss67"">•</span>Fat: 12g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Jerky,"<div class=""jss65"">Dukes, <!-- -->2<!-- --> <!-- -->sticks</div>","<div class=""jss70"">Calories: 180<!-- --> <span class=""jss67"">•</span>Carbs: 1g<!-- --> <span class=""jss67"">•</span>Fat: 15g<!-- --> <span class=""jss67"">•</span>Protein: 9g</div>"
waffy ,"<div class=""jss65"">dukes, <!-- -->100<!-- --> <!-- -->grams</div>","<div class=""jss70"">Calories: 481<!-- --> <span class=""jss67"">•</span>Carbs: 75g<!-- --> <span class=""jss67"">•</span>Fat: 19g<!-- --> <span class=""jss67"">•</span>Protein: 4g</div>"
"Dukes Hot & Spicy ""shorty"" Smoked Sausages","<div class=""jss65"">Dukes, <!-- -->2<!-- --> <!-- -->links (25g)</div>","<div class=""jss70"">Calories: 120<!-- --> <span class=""jss67"">•</span>Carbs: 1g<!-- --> <span class=""jss67"">•</span>Fat: 10g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
Mayonaise,"<div class=""jss65"">Dukes Light, <!-- -->1<!-- --> <!-- -->tbsp</div>","<div class=""jss70"">Calories: 50<!-- --> <span class=""jss67"">•</span>Carbs: 1g<!-- --> <span class=""jss67"">•</span>Fat: 5g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Dukes Mayo,"<div class=""jss65"">Dukes Real Mayo In Grams, <!-- -->14<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 100<!-- --> <span class=""jss67"">•</span>Carbs: 0g<!-- --> <span class=""jss67"">•</span>Fat: 12g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Mayo Light,"<div class=""jss65"">Dukes, <!-- -->1<!-- --> <!-- -->tbsp</div>","<div class=""jss70"">Calories: 50<!-- --> <span class=""jss67"">•</span>Carbs: 1g<!-- --> <span class=""jss67"">•</span>Fat: 5g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Real Mayo,"<div class=""jss65"">Dukes, <!-- -->1<!-- --> <!-- -->Tbsp</div>","<div class=""jss70"">Calories: 100<!-- --> <span class=""jss67"">•</span>Carbs: 0g<!-- --> <span class=""jss67"">•</span>Fat: 12g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Shorty Sausages,"<div class=""jss65"">Dukes, <!-- -->25<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 130<!-- --> <span class=""jss67"">•</span>Carbs: 1g<!-- --> <span class=""jss67"">•</span>Fat: 11g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
