name,description,nutrition
Parle - g,"<div class=""jss65"">Parle, <!-- -->12<!-- --> <!-- -->cookies</div>","<div class=""jss70"">Calories: 250<!-- --> <span class=""jss67"">•</span>Carbs: 43g<!-- --> <span class=""jss67"">•</span>Fat: 7g<!-- --> <span class=""jss67"">•</span>Protein: 4g</div>"
Parle-g Gold,"<div class=""jss65"">Parle, <!-- -->56<!-- --> <!-- -->g (9 pieces)</div>","<div class=""jss70"">Calories: 260<!-- --> <span class=""jss67"">•</span>Carbs: 43g<!-- --> <span class=""jss67"">•</span>Fat: 8g<!-- --> <span class=""jss67"">•</span>Protein: 4g</div>"
Parle - g (Shyam),"<div class=""jss65"">Parle, <!-- -->1<!-- --> <!-- -->Biscuit</div>","<div class=""jss70"">Calories: 21<!-- --> <span class=""jss67"">•</span>Carbs: 4g<!-- --> <span class=""jss67"">•</span>Fat: 1g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Parle-G,"<div class=""jss65"">Parle, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 453<!-- --> <span class=""jss67"">•</span>Carbs: 77g<!-- --> <span class=""jss67"">•</span>Fat: 13g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
Cookies,"<div class=""jss65"">Parle g, <!-- -->5<!-- --> <!-- -->cookies</div>","<div class=""jss70"">Calories: 110<!-- --> <span class=""jss67"">•</span>Carbs: 18g<!-- --> <span class=""jss67"">•</span>Fat: 3g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
بسكويت parle -g,"<div class=""jss65""> parle -g, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 453<!-- --> <span class=""jss67"">•</span>Carbs: 77g<!-- --> <span class=""jss67"">•</span>Fat: 13g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
Biscuits,"<div class=""jss65"">Parle g, <!-- -->5<!-- --> <!-- -->pieces</div>","<div class=""jss70"">Calories: 110<!-- --> <span class=""jss67"">•</span>Carbs: 18g<!-- --> <span class=""jss67"">•</span>Fat: 3g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Biscuits,"<div class=""jss65"">Parle-g, <!-- -->1<!-- --> <!-- -->pc</div>","<div class=""jss70"">Calories: 16<!-- --> <span class=""jss67"">•</span>Carbs: 10g<!-- --> <span class=""jss67"">•</span>Fat: 1g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Cookies,"<div class=""jss65"">Parle-g, <!-- -->5<!-- --> <!-- -->pieces (27.5g)</div>","<div class=""jss70"">Calories: 125<!-- --> <span class=""jss67"">•</span>Carbs: 21g<!-- --> <span class=""jss67"">•</span>Fat: 4g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Parle-G biscuits ,"<div class=""jss65"">parle, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 451<!-- --> <span class=""jss67"">•</span>Carbs: 78g<!-- --> <span class=""jss67"">•</span>Fat: 13g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
Parle G biscuits India ,"<div class=""jss65"">Parle-G, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 451<!-- --> <span class=""jss67"">•</span>Carbs: 78g<!-- --> <span class=""jss67"">•</span>Fat: 13g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
Parle g,"<div class=""jss65"">Mayank, <!-- -->50<!-- --> <!-- -->grams</div>","<div class=""jss70"">Calories: 225<!-- --> <span class=""jss67"">•</span>Carbs: 39g<!-- --> <span class=""jss67"">•</span>Fat: 6g<!-- --> <span class=""jss67"">•</span>Protein: 3g</div>"
