name,description,nutrition
Patanjali Cornflakes,"<div class=""jss65"">Patanjali, <!-- -->30<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 385<!-- --> <span class=""jss67"">•</span>Carbs: 89g<!-- --> <span class=""jss67"">•</span>Fat: 1g<!-- --> <span class=""jss67"">•</span>Protein: 5g</div>"
patanjali,"<div class=""jss65"">patanjali, <!-- -->3<!-- --> <!-- -->cups</div>","<div class=""jss70"">Calories: 159<!-- --> <span class=""jss67"">•</span>Carbs: 34g<!-- --> <span class=""jss67"">•</span>Fat: 3g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Patanjali : Nariyal / Coconut Biscuits,"<div class=""jss65"">Patanjali, <!-- -->12<!-- --> <!-- -->Biscuits</div>","<div class=""jss70"">Calories: 440<!-- --> <span class=""jss67"">•</span>Carbs: 65g<!-- --> <span class=""jss67"">•</span>Fat: 21g<!-- --> <span class=""jss67"">•</span>Protein: 9g</div>"
Oats,"<div class=""jss65"">Patanjali, <!-- -->100<!-- --> <!-- -->gm</div>","<div class=""jss70"">Calories: 414<!-- --> <span class=""jss67"">•</span>Carbs: 71g<!-- --> <span class=""jss67"">•</span>Fat: 11g<!-- --> <span class=""jss67"">•</span>Protein: 12g</div>"
Chyawanprash,"<div class=""jss65"">Patanjali, <!-- -->1<!-- --> <!-- -->tbs</div>","<div class=""jss70"">Calories: 45<!-- --> <span class=""jss67"">•</span>Carbs: 10g<!-- --> <span class=""jss67"">•</span>Fat: 1g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Honey,"<div class=""jss65"">Patanjali, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 320<!-- --> <span class=""jss67"">•</span>Carbs: 80g<!-- --> <span class=""jss67"">•</span>Fat: 0g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Muesli,"<div class=""jss65"">Patanjali, <!-- -->30<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 400<!-- --> <span class=""jss67"">•</span>Carbs: 83g<!-- --> <span class=""jss67"">•</span>Fat: 4g<!-- --> <span class=""jss67"">•</span>Protein: 9g</div>"
Noodles,"<div class=""jss65"">Patanjali, <!-- -->60<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 462<!-- --> <span class=""jss67"">•</span>Carbs: 63g<!-- --> <span class=""jss67"">•</span>Fat: 19g<!-- --> <span class=""jss67"">•</span>Protein: 10g</div>"
Ghee,"<div class=""jss65"">Patanjali, <!-- -->100<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 898<!-- --> <span class=""jss67"">•</span>Carbs: 0g<!-- --> <span class=""jss67"">•</span>Fat: 100g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Ashvagandha,"<div class=""jss65"">Patanjali, <!-- -->1<!-- --> <!-- -->I</div>","<div class=""jss70"">Calories: 0<!-- --> <span class=""jss67"">•</span>Carbs: 0g<!-- --> <span class=""jss67"">•</span>Fat: 0g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Amla Juice,"<div class=""jss65"">Patanjali, <!-- -->100<!-- --> <!-- -->ml</div>","<div class=""jss70"">Calories: 0<!-- --> <span class=""jss67"">•</span>Carbs: 0g<!-- --> <span class=""jss67"">•</span>Fat: 0g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Chocolate,"<div class=""jss65"">Patanjali, <!-- -->40<!-- --> <!-- -->gm</div>","<div class=""jss70"">Calories: 187<!-- --> <span class=""jss67"">•</span>Carbs: 32g<!-- --> <span class=""jss67"">•</span>Fat: 6g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Patanjali Energy Bar,"<div class=""jss65"">Patanjali Energy Bar, <!-- -->40<!-- --> <!-- -->gm</div>","<div class=""jss70"">Calories: 165<!-- --> <span class=""jss67"">•</span>Carbs: 32g<!-- --> <span class=""jss67"">•</span>Fat: 3g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Biscuits,"<div class=""jss65"">Patanjali Namkeen, <!-- -->100<!-- --> <!-- -->grms</div>","<div class=""jss70"">Calories: 80<!-- --> <span class=""jss67"">•</span>Carbs: 0g<!-- --> <span class=""jss67"">•</span>Fat: 23g<!-- --> <span class=""jss67"">•</span>Protein: 6g</div>"
Patanjali Pushtahar Dalia (Multi-grain Dalia) - Indian,"<div class=""jss65"">Patanjali, <!-- -->0.22<!-- --> <!-- -->cup or 50 g or 1.76 oz</div>","<div class=""jss70"">Calories: 180<!-- --> <span class=""jss67"">•</span>Carbs: 36g<!-- --> <span class=""jss67"">•</span>Fat: 2g<!-- --> <span class=""jss67"">•</span>Protein: 6g</div>"
Rasgulla,"<div class=""jss65"">Patanjali, <!-- -->100<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 261<!-- --> <span class=""jss67"">•</span>Carbs: 54g<!-- --> <span class=""jss67"">•</span>Fat: 3g<!-- --> <span class=""jss67"">•</span>Protein: 5g</div>"
