name,description,nutrition
Gingerbread Man,"<div class=""jss65"">Unibic, <!-- -->1<!-- --> <!-- -->biscuit</div>","<div class=""jss70"">Calories: 125<!-- --> <span class=""jss67"">•</span>Carbs: 26g<!-- --> <span class=""jss67"">•</span>Fat: 1g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
gingerbread,"<div class=""jss65"">Unibic, <!-- -->35<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 150<!-- --> <span class=""jss67"">•</span>Carbs: 25g<!-- --> <span class=""jss67"">•</span>Fat: 4g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Shortbread Fingers,"<div class=""jss65"">Unibic, <!-- -->14.5<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 76<!-- --> <span class=""jss67"">•</span>Carbs: 9g<!-- --> <span class=""jss67"">•</span>Fat: 4g<!-- --> <span class=""jss67"">•</span>Protein: 1g</div>"
Italian Shortbread,"<div class=""jss65"">Unibic, <!-- -->19<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 131<!-- --> <span class=""jss67"">•</span>Carbs: 12g<!-- --> <span class=""jss67"">•</span>Fat: 2g<!-- --> <span class=""jss67"">•</span>Protein: 1g</div>"
Oats Biscuit,"<div class=""jss65"">Unibic, <!-- -->1<!-- --> <!-- -->biscuit</div>","<div class=""jss70"">Calories: 36<!-- --> <span class=""jss67"">•</span>Carbs: 0g<!-- --> <span class=""jss67"">•</span>Fat: 0g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Coconut Macaroons,"<div class=""jss65"">Unibic, <!-- -->1<!-- --> <!-- -->Macaroon</div>","<div class=""jss70"">Calories: 96<!-- --> <span class=""jss67"">•</span>Carbs: 11g<!-- --> <span class=""jss67"">•</span>Fat: 5g<!-- --> <span class=""jss67"">•</span>Protein: 1g</div>"
Sponge Finger,"<div class=""jss65"">Unibic, <!-- -->12.5<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 46<!-- --> <span class=""jss67"">•</span>Carbs: 9g<!-- --> <span class=""jss67"">•</span>Fat: 1g<!-- --> <span class=""jss67"">•</span>Protein: 1g</div>"
Butter Cookies,"<div class=""jss65"">Unibic, <!-- -->1<!-- --> <!-- -->Biscuits</div>","<div class=""jss70"">Calories: 34<!-- --> <span class=""jss67"">•</span>Carbs: 4g<!-- --> <span class=""jss67"">•</span>Fat: 2g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Gingerbread Babies,"<div class=""jss65"">Unibic, <!-- -->25<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 84<!-- --> <span class=""jss67"">•</span>Carbs: 17g<!-- --> <span class=""jss67"">•</span>Fat: 1g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Espresso Biscotti,"<div class=""jss65"">Unibic, <!-- -->5.8<!-- --> <!-- -->g (1 biscuit)</div>","<div class=""jss70"">Calories: 25<!-- --> <span class=""jss67"">•</span>Carbs: 4g<!-- --> <span class=""jss67"">•</span>Fat: 1g<!-- --> <span class=""jss67"">•</span>Protein: 1g</div>"
Anzac Buscuit,"<div class=""jss65"">Unibic, <!-- -->26<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 125<!-- --> <span class=""jss67"">•</span>Carbs: 18g<!-- --> <span class=""jss67"">•</span>Fat: 5g<!-- --> <span class=""jss67"">•</span>Protein: 1g</div>"
Milk Cookies,"<div class=""jss65"">Unibic, <!-- -->25<!-- --> <!-- -->g or 4 biscuits</div>","<div class=""jss70"">Calories: 118<!-- --> <span class=""jss67"">•</span>Carbs: 18g<!-- --> <span class=""jss67"">•</span>Fat: 4g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Coconut Macaroon,"<div class=""jss65"">Unibic, <!-- -->1<!-- --> <!-- -->piece</div>","<div class=""jss70"">Calories: 96<!-- --> <span class=""jss67"">•</span>Carbs: 11g<!-- --> <span class=""jss67"">•</span>Fat: 5g<!-- --> <span class=""jss67"">•</span>Protein: 1g</div>"
Gingerbread kids,"<div class=""jss65"">Unibic, <!-- -->35<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 129<!-- --> <span class=""jss67"">•</span>Carbs: 28g<!-- --> <span class=""jss67"">•</span>Fat: 1g<!-- --> <span class=""jss67"">•</span>Protein: 3g</div>"
gingerbread babies,"<div class=""jss65"">unibic, <!-- -->25<!-- --> <!-- -->grams</div>","<div class=""jss70"">Calories: 85<!-- --> <span class=""jss67"">•</span>Carbs: 17g<!-- --> <span class=""jss67"">•</span>Fat: 1g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Cashew cookies,"<div class=""jss65"">Unibic, <!-- -->1<!-- --> <!-- -->cookie</div>","<div class=""jss70"">Calories: 43<!-- --> <span class=""jss67"">•</span>Carbs: 6g<!-- --> <span class=""jss67"">•</span>Fat: 2g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Sponge fingers,"<div class=""jss65"">Unibic, <!-- -->1<!-- --> <!-- -->piece</div>","<div class=""jss70"">Calories: 77<!-- --> <span class=""jss67"">•</span>Carbs: 16g<!-- --> <span class=""jss67"">•</span>Fat: 1g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Sponge Finger Biscuits,"<div class=""jss65"">Unibic, <!-- -->1<!-- --> <!-- -->BISCUIT</div>","<div class=""jss70"">Calories: 43<!-- --> <span class=""jss67"">•</span>Carbs: 8g<!-- --> <span class=""jss67"">•</span>Fat: 1g<!-- --> <span class=""jss67"">•</span>Protein: 1g</div>"
Multigrain Breakfast Cookies,"<div class=""jss65"">Unibic, <!-- -->100<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 450<!-- --> <span class=""jss67"">•</span>Carbs: 68g<!-- --> <span class=""jss67"">•</span>Fat: 17g<!-- --> <span class=""jss67"">•</span>Protein: 6g</div>"
strawberry tartlets,"<div class=""jss65"">unibic, <!-- -->2<!-- --> <!-- -->biscuits</div>","<div class=""jss70"">Calories: 110<!-- --> <span class=""jss67"">•</span>Carbs: 18g<!-- --> <span class=""jss67"">•</span>Fat: 3g<!-- --> <span class=""jss67"">•</span>Protein: 1g</div>"
Anzac Biscuit,"<div class=""jss65"">Unibic, <!-- -->1<!-- --> <!-- -->biscuit</div>","<div class=""jss70"">Calories: 61<!-- --> <span class=""jss67"">•</span>Carbs: 8g<!-- --> <span class=""jss67"">•</span>Fat: 3g<!-- --> <span class=""jss67"">•</span>Protein: 1g</div>"
oatmeal,"<div class=""jss65"">unibic, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 485<!-- --> <span class=""jss67"">•</span>Carbs: 70g<!-- --> <span class=""jss67"">•</span>Fat: 20g<!-- --> <span class=""jss67"">•</span>Protein: 6g</div>"
biscuit,"<div class=""jss65"">unibic, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 497<!-- --> <span class=""jss67"">•</span>Carbs: 66g<!-- --> <span class=""jss67"">•</span>Fat: 24g<!-- --> <span class=""jss67"">•</span>Protein: 6g</div>"
cookies1,"<div class=""jss65"">unibic, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 0<!-- --> <span class=""jss67"">•</span>Carbs: 72g<!-- --> <span class=""jss67"">•</span>Fat: 17g<!-- --> <span class=""jss67"">•</span>Protein: 8g</div>"
WittyBite,"<div class=""jss65"">Unibic, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 489<!-- --> <span class=""jss67"">•</span>Carbs: 65g<!-- --> <span class=""jss67"">•</span>Fat: 23g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
